order_id,supplier,product,order_date,promised_date,delivery_date,ordered_qty,delivered_qty,unit_cost,status
ORD-0001,Delta Logistics,Raw Material A,2026-01-19,2026-01-22,2026-01-23,532,505,127.67,Short
ORD-0002,Delta Logistics,Packaging Y,2026-06-12,2026-06-20,2026-06-23,84,84,71.39,Complete
ORD-0003,Omega Parts,Raw Material B,2026-05-18,2026-05-28,2026-06-02,268,235,143.32,Short
ORD-0004,Omega Parts,Raw Material B,2026-04-03,2026-04-12,2026-04-12,302,302,100.41,Complete
ORD-0005,Delta Logistics,Raw Material A,2026-04-01,2026-04-06,2026-04-06,488,488,24.46,Complete
ORD-0006,Beta Metals,Component Z,2026-06-30,2026-07-06,2026-07-08,120,120,133.68,Complete
ORD-0007,Gamma Packaging,Component Z,2026-01-19,2026-01-26,2026-01-26,288,282,77.48,Short
ORD-0008,Gamma Packaging,Component Z,2026-05-27,2026-05-31,2026-06-02,133,126,28.11,Short
ORD-0009,Delta Logistics,Raw Material A,2026-02-12,2026-02-17,2026-02-17,483,483,29.68,Complete
ORD-0010,Omega Parts,Raw Material B,2026-01-20,2026-01-24,2026-01-24,397,397,105.63,Complete
ORD-0011,Beta Metals,Component Z,2026-04-21,2026-05-01,2026-05-01,323,323,14.73,Complete
ORD-0012,Gamma Packaging,Packaging X,2026-07-24,2026-08-01,2026-08-04,266,234,48.7,Short
ORD-0013,Alpha Components,Raw Material A,2026-06-04,2026-06-13,2026-06-13,134,100,27.85,Short
ORD-0014,Delta Logistics,Raw Material A,2026-06-09,2026-06-18,2026-06-18,557,490,70.63,Short
ORD-0015,Gamma Packaging,Raw Material B,2026-05-31,2026-06-10,2026-06-10,406,406,66.84,Complete
ORD-0016,Gamma Packaging,Component Z,2026-06-15,2026-06-18,2026-06-18,225,198,82.11,Short
ORD-0017,Gamma Packaging,Raw Material A,2026-04-18,2026-04-28,2026-04-28,277,263,47.71,Short
ORD-0018,Beta Metals,Component Z,2026-01-27,2026-01-30,2026-02-01,449,440,12.55,Short
ORD-0019,Gamma Packaging,Packaging Y,2026-06-26,2026-07-02,2026-07-02,445,445,95.24,Complete
ORD-0020,Delta Logistics,Component Z,2026-04-05,2026-04-12,2026-04-14,303,227,61.07,Short
ORD-0021,Beta Metals,Component Z,2026-04-16,2026-04-21,2026-04-24,216,211,100.49,Short
